dataset,model,seed,sample_index,measurement_probability,phase_noise_rad,optical_power
circles,proposed,42,0,0.97073223,0.05191346,0.99593347
circles,proposed,42,1,0.97231224,0.00587941,1.01128005
circles,proposed,42,2,0.96310077,0.03323425,1.0153709
circles,proposed,42,3,0.96232921,0.00350932,0.99614801
circles,proposed,42,4,0.96528862,0.04452576,1.00884759
circles,proposed,42,5,0.96258827,0.04100595,1.00002786
circles,proposed,42,6,0.96310628,0.08419723,0.98799578
circles,proposed,42,7,0.96127859,0.00859923,0.99011146
circles,proposed,42,8,0.96456267,0.02199248,1.00285218
circles,proposed,42,9,0.96704462,0.06245462,1.00421487
circles,proposed,42,10,0.96629027,0.03593046,0.99064288
circles,proposed,42,11,0.97307268,0.00234123,1.01379583
circles,proposed,42,12,0.96902764,0.02390468,1.00539668
circles,proposed,42,13,0.96663877,0.00197856,1.01346214
circles,proposed,42,14,0.96510923,0.02055219,1.00693169
circles,proposed,42,15,0.96575311,0.008627,0.99601677
circles,proposed,42,16,0.96566848,0.04541348,0.96954575
circles,proposed,42,17,0.96231569,0.04561776,1.01088507
circles,proposed,42,18,0.9741121,0.06699811,1.00854431
circles,proposed,42,19,0.96638594,0.02766879,1.00227793
circles,proposed,42,20,0.97014616,0.03772678,0.99524224
circles,proposed,42,21,0.96677915,0.0771432,0.96183685
circles,proposed,42,22,0.96905395,0.02828685,1.00438721
circles,proposed,42,23,0.97451372,0.00422705,0.97946255
circles,proposed,42,24,0.97566233,0.07997408,1.01603069
circles,proposed,42,25,0.96182659,0.04204023,0.99047615
circles,proposed,42,26,0.95725336,0.05515222,0.98613516
circles,proposed,42,27,0.9781002,0.03641595,1.00515161
circles,proposed,42,28,0.9610833,0.04561366,1.00684851
circles,proposed,42,29,0.96723066,0.04680539,0.98771374
circles,proposed,42,30,0.95658811,0.01487306,0.97269507
circles,proposed,42,31,0.96756711,0.01963866,1.01752099
circles,proposed,42,32,0.95803977,0.08470426,0.99976946
circles,proposed,42,33,0.97768006,0.06823269,0.9985847
circles,proposed,42,34,0.967328,0.05774241,1.01715468
circles,proposed,42,35,0.97345049,0.01353847,1.00441009
circles,proposed,42,36,0.97023369,0.03178704,0.99378267
circles,proposed,42,37,0.97702457,0.05783955,0.99779782
circles,proposed,42,38,0.95127554,0.03204198,1.01654962
circles,proposed,42,39,0.96375408,0.01489116,1.01258468
circles,proposed,42,40,0.96203036,0.08992581,1.01887775
circles,proposed,42,41,0.97922968,0.07612306,0.99902125
circles,proposed,42,42,0.9840725,0.0119489,0.99244637
circles,proposed,42,43,0.96016591,0.03196583,0.97853994
circles,proposed,42,44,0.95878054,0.0253409,1.00257435
circles,proposed,42,45,0.96982473,0.00412997,0.96090046
circles,proposed,42,46,0.97098721,0.0639793,1.00021164
circles,proposed,42,47,0.96895959,0.02596683,0.98159374
circles,proposed,42,48,0.97422718,0.06469627,1.00427687
circles,proposed,42,49,0.97470465,0.02982098,0.9918262
circles,proposed,42,50,0.97324463,0.01650301,1.01939493
circles,proposed,42,51,0.97495934,0.05229412,1.01067723
circles,proposed,42,52,0.96290764,0.03699573,1.0279488
circles,proposed,42,53,0.96829961,0.03296381,1.00754962
circles,proposed,42,54,0.97397095,0.06143735,1.00742616
circles,proposed,42,55,0.96260471,0.03008378,0.96117428
circles,proposed,42,56,0.97304983,0.01944151,0.98094625
circles,proposed,42,57,0.97309348,0.05110623,0.99154786
circles,proposed,42,58,0.96963437,0.02837825,1.00767684
circles,proposed,42,59,0.97497903,0.07520347,1.00267187
circles,proposed,42,60,0.96869061,0.06601471,1.01518422
circles,proposed,42,61,0.97063541,0.01792847,1.01120924
circles,proposed,42,62,0.97508653,0.01200908,0.98180504
circles,proposed,42,63,0.96427389,0.09127153,0.99264997
circles,proposed,42,64,0.96857779,0.00744513,0.98502013
circles,proposed,42,65,0.96488203,0.09028622,1.02373396
circles,proposed,42,66,0.96004529,0.07308138,1.006227
circles,proposed,42,67,0.96534296,0.00499447,1.02547833
circles,proposed,42,68,0.96424795,0.0041897,1.00820162
circles,proposed,42,69,0.96609891,0.09567792,1.02199714
circles,proposed,42,70,0.95868293,0.05546298,0.97714041
circles,proposed,42,71,0.96886937,0.02896401,0.99551342
circles,proposed,42,72,0.97353072,0.01308826,1.00495401
circles,proposed,42,73,0.95903658,0.02611065,1.01227656
circles,proposed,42,74,0.97043348,0.02654695,1.01935299
circles,proposed,42,75,0.97142407,0.03557765,1.0153914
circles,proposed,42,76,0.98036732,0.02486357,0.98464335
circles,proposed,42,77,0.96140308,0.02035113,0.99182928
circles,proposed,42,78,0.9635537,0.05133301,1.02137413
circles,proposed,42,79,0.96300759,0.14879986,0.98567
circles,proposed,42,80,0.9614118,0.00646983,1.00670239
circles,proposed,42,81,0.97544199,0.05470991,0.98020648
circles,proposed,42,82,0.97020966,0.0249878,1.02077358
circles,proposed,42,83,0.97275715,0.07694263,1.00041688
circles,proposed,42,84,0.96105813,0.0189818,1.01184391
circles,proposed,42,85,0.97276354,0.0407631,0.99502598
circles,proposed,42,86,0.96428488,0.10298125,1.00488842
circles,proposed,42,87,0.96209622,0.02176361,0.99242783
circles,proposed,42,88,0.96859809,0.01883993,0.98440799
circles,proposed,42,89,0.96536644,0.05176167,1.01887275
circles,proposed,42,90,0.96507218,0.10958892,1.02151699
circles,proposed,42,91,0.9657176,0.03856844,0.99866955
circles,proposed,42,92,0.96167728,0.10699824,0.99965696
circles,proposed,42,93,0.96110638,0.05513631,0.9771574
circles,proposed,42,94,0.97595872,0.02826915,1.00949215
circles,proposed,42,95,0.95586299,0.01329596,0.99642104
circles,proposed,42,96,0.95886445,0.00705437,1.0118656
circles,proposed,42,97,0.96270312,0.04577962,1.00711039
circles,proposed,42,98,0.97351938,0.02974571,1.00453087
circles,proposed,42,99,0.96809402,0.03502393,0.9722928
circles,proposed,42,100,0.97643119,0.01338324,0.99218966
circles,proposed,42,101,0.97451991,0.0099234,0.98045646
