dataset,model,seed,sample_index,measurement_probability,phase_noise_rad,optical_power
mnist,mlp,42,0,0.97384304,0.01962594,1.01268418
mnist,mlp,42,1,0.96729865,0.04421979,1.01569283
mnist,mlp,42,2,0.96721795,0.02707969,1.00430489
mnist,mlp,42,3,0.98282235,0.09378214,1.00965771
mnist,mlp,42,4,0.97406343,0.04203037,1.01892992
mnist,mlp,42,5,0.97453874,0.04351765,1.00104405
mnist,mlp,42,6,0.97407324,0.00803,1.00429792
mnist,mlp,42,7,0.95811318,0.01602601,0.9694716
mnist,mlp,42,8,0.9748371,0.01018325,1.00314864
mnist,mlp,42,9,0.9761286,0.0348678,1.00472924
mnist,mlp,42,10,0.98258622,0.01355752,1.0180271
mnist,mlp,42,11,0.97236959,0.06001645,0.99198066
mnist,mlp,42,12,0.96473261,0.09093054,0.9902961
mnist,mlp,42,13,0.9734833,0.02563665,0.98596168
mnist,mlp,42,14,0.97727862,0.05565655,0.99894967
mnist,mlp,42,15,0.97257907,0.00333124,1.01453842
mnist,mlp,42,16,0.96483608,0.01357057,0.97086125
mnist,mlp,42,17,0.96956638,0.00264997,1.00942853
mnist,mlp,42,18,0.97747765,0.01470599,1.01105052
mnist,mlp,42,19,0.98037481,0.0330905,1.00000623
mnist,mlp,42,20,0.96573512,0.04547595,0.99384462
mnist,mlp,42,21,0.96525369,0.01295977,1.03516086
mnist,mlp,42,22,0.98015283,0.03081118,1.01349485
mnist,mlp,42,23,0.9715939,0.01210225,1.00703197
mnist,mlp,42,24,0.97185182,0.05433512,1.01192262
mnist,mlp,42,25,0.97669128,0.04290764,0.99051974
mnist,mlp,42,26,0.96623538,0.05835151,0.99503985
mnist,mlp,42,27,0.96812371,0.14562711,0.9993031
mnist,mlp,42,28,0.98358468,0.00834362,0.99907166
mnist,mlp,42,29,0.96400338,0.06699758,0.99688593
mnist,mlp,42,30,0.97645674,0.04945809,1.00493208
mnist,mlp,42,31,0.97252314,0.01611541,0.9906236
mnist,mlp,42,32,0.97552956,0.02477872,0.99991311
mnist,mlp,42,33,0.97492315,0.07336461,0.99526429
mnist,mlp,42,34,0.97092875,0.02101603,0.98990105
mnist,mlp,42,35,0.96211815,0.01921032,0.99921332
mnist,mlp,42,36,0.97715077,0.06651328,1.00146844
mnist,mlp,42,37,0.95776107,0.00165821,0.97958376
mnist,mlp,42,38,0.97059228,0.0388063,0.97602395
mnist,mlp,42,39,0.96678028,0.01948654,0.98828469
mnist,mlp,42,40,0.96724672,0.02315357,1.02307467
mnist,mlp,42,41,0.96351723,0.07970138,1.01701436
mnist,mlp,42,42,0.96142997,0.01334264,1.01475386
mnist,mlp,42,43,0.96512776,0.00771922,1.00488226
mnist,mlp,42,44,0.97291695,0.01039528,0.98955353
mnist,mlp,42,45,0.96961834,0.02601359,0.96151723
mnist,mlp,42,46,0.97673206,0.0602023,0.9926718
mnist,mlp,42,47,0.96998395,0.02062709,0.98988491
mnist,mlp,42,48,0.98817987,0.04782273,1.00077071
mnist,mlp,42,49,0.97402373,0.04854205,1.00081007
mnist,mlp,42,50,0.97072442,0.02295248,1.00856136
mnist,mlp,42,51,0.97120121,0.09134835,1.01722212
mnist,mlp,42,52,0.96629157,0.00178995,0.99559702
mnist,mlp,42,53,0.98118364,0.00726014,1.02000054
mnist,mlp,42,54,0.98186678,0.05931521,1.00862464
mnist,mlp,42,55,0.97290236,0.08786361,1.00127445
mnist,mlp,42,56,0.97005799,0.0161779,1.0298943
