dataset,model,seed,sample_index,measurement_probability,phase_noise_rad,optical_power
mnist,cnn,256,0,0.9973152,0.10340427,1.00810634
mnist,cnn,256,1,0.999,0.00250278,0.99801033
mnist,cnn,256,2,0.98984708,0.05321414,0.98238696
mnist,cnn,256,3,0.99541326,0.14441144,0.99047224
mnist,cnn,256,4,0.99872686,0.0363395,0.99948403
mnist,cnn,256,5,0.99120096,0.00966059,1.03210475
mnist,cnn,256,6,0.99108707,0.07820428,0.99076554
mnist,cnn,256,7,0.9985709,0.07183077,1.01642711
mnist,cnn,256,8,0.98703251,0.04820836,0.97457785
mnist,cnn,256,9,0.9985358,0.03060145,0.9944207
mnist,cnn,256,10,0.999,0.01917351,0.96298815
mnist,cnn,256,11,0.99331854,0.00099692,0.997285
mnist,cnn,256,12,0.99642578,0.00672501,0.98994317
mnist,cnn,256,13,0.99671183,0.07687512,1.00846993
mnist,cnn,256,14,0.98305607,0.02360912,1.02053992
mnist,cnn,256,15,0.99224359,0.03917447,1.00842398
mnist,cnn,256,16,0.99081012,0.00751748,0.97074731
mnist,cnn,256,17,0.99118546,0.04502526,1.0014906
mnist,cnn,256,18,0.98642612,0.04616408,1.00426655
mnist,cnn,256,19,0.99390395,0.06290317,0.98757375
mnist,cnn,256,20,0.99334325,0.03276481,0.98103156
mnist,cnn,256,21,0.98997091,0.01693463,0.98979857
mnist,cnn,256,22,0.9954771,0.03438083,1.01562393
mnist,cnn,256,23,0.98381377,0.03343589,0.98687638
mnist,cnn,256,24,0.99558247,0.04490774,0.99833798
mnist,cnn,256,25,0.99463769,0.01325382,1.009779
mnist,cnn,256,26,0.9896784,0.00791227,1.00221167
mnist,cnn,256,27,0.99796244,0.02277921,0.9919439
mnist,cnn,256,28,0.99701576,0.05536647,1.01260753
mnist,cnn,256,29,0.99029762,0.03910121,1.00861278
mnist,cnn,256,30,0.999,0.06830322,0.99973392
mnist,cnn,256,31,0.98446106,0.07070908,0.97990956
mnist,cnn,256,32,0.9860311,0.03087817,1.01550872
mnist,cnn,256,33,0.9871587,0.00217159,1.02473683
mnist,cnn,256,34,0.99326937,0.05843192,0.97462769
mnist,cnn,256,35,0.99613869,0.01020936,1.01085069
mnist,cnn,256,36,0.99492341,0.0555946,1.00726452
mnist,cnn,256,37,0.99645235,0.02019864,0.9753654
mnist,cnn,256,38,0.98911906,0.01162168,1.02117853
mnist,cnn,256,39,0.99778442,0.02185191,1.00224833
mnist,cnn,256,40,0.999,0.05064803,1.0025388
mnist,cnn,256,41,0.98415571,0.00186282,1.00676251
mnist,cnn,256,42,0.99687259,0.10499744,0.99208777
mnist,cnn,256,43,0.98678511,0.03392985,1.02404192
mnist,cnn,256,44,0.999,0.09416092,0.96599234
mnist,cnn,256,45,0.99480059,0.03045153,1.01971517
