dataset,model,seed,sample_index,measurement_probability,phase_noise_rad,optical_power
cifar10,fixed_amplitude,42,0,0.6977762,0.00828954,1.02776229
cifar10,fixed_amplitude,42,1,0.69345377,0.02165501,0.96911628
cifar10,fixed_amplitude,42,2,0.69326016,0.03174634,1.02289527
cifar10,fixed_amplitude,42,3,0.69675041,0.00132574,0.99058529
cifar10,fixed_amplitude,42,4,0.69698364,0.03924543,0.97973479
cifar10,fixed_amplitude,42,5,0.69843151,0.00471159,1.00694168
cifar10,fixed_amplitude,42,6,0.69772049,0.02923797,1.00173952
cifar10,fixed_amplitude,42,7,0.70764958,0.05058277,1.02688176
cifar10,fixed_amplitude,42,8,0.70225376,0.00926211,1.00638538
cifar10,fixed_amplitude,42,9,0.70875023,0.0113684,1.00353534
cifar10,fixed_amplitude,42,10,0.69320504,0.01284004,0.98372899
cifar10,fixed_amplitude,42,11,0.70862184,0.02419621,1.0022804
cifar10,fixed_amplitude,42,12,0.69573162,0.02829009,1.00646324
cifar10,fixed_amplitude,42,13,0.69836276,0.07040901,0.99555192
cifar10,fixed_amplitude,42,14,0.69965017,0.02317149,0.99379133
cifar10,fixed_amplitude,42,15,0.7005917,0.00557912,1.00544972
cifar10,fixed_amplitude,42,16,0.69857993,0.08091471,1.02325211
cifar10,fixed_amplitude,42,17,0.70395573,0.00069183,1.01466402
cifar10,fixed_amplitude,42,18,0.70179627,0.01369603,0.97591884
cifar10,fixed_amplitude,42,19,0.69148564,0.0886919,0.99857768
cifar10,fixed_amplitude,42,20,0.70521867,0.07236697,0.98049433
cifar10,fixed_amplitude,42,21,0.71157701,0.0641711,0.98057534
cifar10,fixed_amplitude,42,22,0.70480564,0.00353379,0.98970598
cifar10,fixed_amplitude,42,23,0.70285502,0.12914675,1.01163264
cifar10,fixed_amplitude,42,24,0.70048257,0.03657494,0.97947922
cifar10,fixed_amplitude,42,25,0.69943752,0.005453,1.00586204
cifar10,fixed_amplitude,42,26,0.69751678,0.07452834,1.00864783
cifar10,fixed_amplitude,42,27,0.70092167,0.08104104,1.00008181
cifar10,fixed_amplitude,42,28,0.71333608,0.05583882,1.02108274
cifar10,fixed_amplitude,42,29,0.71041355,0.03895594,0.99836511
cifar10,fixed_amplitude,42,30,0.70794982,0.10079607,0.99019573
cifar10,fixed_amplitude,42,31,0.70705047,0.01103606,0.99326685
cifar10,fixed_amplitude,42,32,0.70043411,0.02576589,1.00598119
